seq,split_tag,clusters,detections,tracks,edges,trigger_pass_clusters,accepted_clusters,rejected_clusters,gt_positive_clusters,gt_negative_clusters,gt_neutral_clusters,action_rewrite_clusters,action_defer_clusters,action_reject_clusters
MOT17-02-DPM,train,33,76,87,121,8,22,11,6,4,23,6,23,4
MOT17-02-FRCNN,train,33,76,87,121,8,22,11,6,4,23,6,23,4
MOT17-02-SDP,train,33,76,87,121,8,22,11,6,4,23,6,23,4
MOT17-05-DPM,train,3,7,8,10,2,3,0,0,0,3,0,3,0
MOT17-05-FRCNN,train,3,7,8,10,2,3,0,0,0,3,0,3,0
MOT17-05-SDP,train,3,7,8,10,2,3,0,0,0,3,0,3,0
MOT17-09-DPM,train,5,10,13,16,2,4,1,0,0,5,0,5,0
MOT17-09-FRCNN,train,5,10,13,16,2,4,1,0,0,5,0,5,0
MOT17-09-SDP,train,5,10,13,16,2,4,1,0,0,5,0,5,0
MOT17-10-DPM,train,9,18,26,39,8,2,7,0,7,2,0,2,7
MOT17-10-FRCNN,train,9,18,26,39,8,2,7,0,7,2,0,2,7
MOT17-10-SDP,train,9,18,26,39,8,2,7,0,7,2,0,2,7
MOT17-11-DPM,train,1,2,2,3,0,1,0,0,0,1,0,1,0
MOT17-11-FRCNN,train,1,2,2,3,0,1,0,0,0,1,0,1,0
MOT17-11-SDP,train,1,2,2,3,0,1,0,0,0,1,0,1,0
MOT17-13-DPM,train,4,8,8,16,2,2,2,2,1,1,2,1,1
MOT17-13-FRCNN,train,4,8,8,16,2,2,2,2,1,1,2,1,1
MOT17-13-SDP,train,4,8,8,16,2,2,2,2,1,1,2,1,1
MOT20-02,train,278,648,878,1366,188,16,262,28,100,150,28,150,100
MOT20-05,val,151,348,425,624,60,1,150,20,31,100,20,100,31
