variant,freeze_thresh,HOTA,AssA,IDF1,MOTA,IDSW,Frag,normal_updates,freeze_updates,avg_q_update
tcgau_freeze_0.01,0.01,74.068,73.214,87.121,88.695,41,110,12019,33,0.813
tcgau_freeze_0.02,0.02,74.068,73.214,87.121,88.695,41,110,12019,33,0.813
tcgau_freeze_0.03,0.03,74.068,73.214,87.121,88.695,41,110,12019,33,0.813
tcgau_freeze_0.04,0.04,74.068,73.214,87.121,88.695,41,110,12019,33,0.813
tcgau_freeze_0.05,0.05,74.068,73.214,87.121,88.695,41,110,12019,33,0.813
tcgau_freeze_0.06,0.06,74.068,73.214,87.121,88.695,41,110,12019,33,0.813
tcgau_freeze_0.07,0.07,74.068,73.214,87.121,88.695,41,110,12019,33,0.813
tcgau_freeze_0.08,0.08,74.068,73.214,87.121,88.695,41,110,12016,36,0.8129
tcgau_freeze_0.09,0.09,74.068,73.214,87.121,88.695,41,110,11844,208,0.8036
baseline,0.0,73.825,72.740,86.753,88.695,41,110,-,-,-
